Date,Open,High,Low,Close,Adj Close,Volume
10-08-2017,141.64,142.42,141.23,141.84,139.07,4525400
11-08-2017,142.45,142.59,141.52,141.84,139.07,3004000
14-08-2017,142.00,142.76,141.94,142.32,139.54,2222300
15-08-2017,142.55,143.34,140.58,142.07,139.29,4681500
16-08-2017,141.79,142.91,141.61,142.50,139.71,3287800
17-08-2017,142.52,142.89,140.70,140.70,137.95,4422100
18-08-2017,140.87,141.15,139.58,139.70,136.97,4152700
21-08-2017,139.59,140.42,139.13,140.33,137.59,3190700
22-08-2017,140.64,141.15,140.38,141.01,138.25,2544400
23-08-2017,140.70,143.05,140.68,142.14,139.36,4048300
24-08-2017,142.50,143.68,142.25,142.94,140.15,3592200
25-08-2017,143.30,144.19,143.25,143.74,140.93,2872900
28-08-2017,144.11,144.56,142.39,142.51,139.72,5134500
29-08-2017,142.10,143.43,141.90,143.14,140.34,3009500
30-08-2017,143.26,143.28,142.41,142.56,139.77,2736000
31-08-2017,143.02,143.66,142.63,143.03,140.23,3656400
01-09-2017,142.98,144.50,142.98,144.08,141.26,3351700
05-09-2017,143.50,144.36,142.70,143.04,140.24,3097500
06-09-2017,143.88,144.47,143.50,143.82,141.01,3273300
07-09-2017,144.10,144.64,142.41,142.90,140.11,4188200
08-09-2017,143.15,143.15,141.64,142.45,139.67,3366200
11-09-2017,143.54,145.13,143.01,144.86,142.03,4613400
12-09-2017,145.11,146.37,144.51,145.76,142.91,5238100
13-09-2017,145.35,146.29,145.34,145.99,143.14,4101000
14-09-2017,145.86,146.38,145.51,145.54,142.69,3756900
15-09-2017,144.82,145.17,144.08,144.82,141.99,7397200
18-09-2017,144.81,145.48,144.27,144.55,141.72,3019500
19-09-2017,144.79,144.98,144.22,144.39,141.57,3464400
20-09-2017,144.93,145.88,144.42,145.88,143.03,5447500
21-09-2017,145.65,145.89,145.10,145.26,142.42,2555600
22-09-2017,145.59,145.59,144.59,145.13,142.29,2792300
25-09-2017,145.12,146.03,144.91,145.87,143.02,5213100
26-09-2017,146.36,147.42,145.94,146.56,143.69,4488600
27-09-2017,146.68,146.90,145.03,145.66,142.81,3502700
28-09-2017,145.66,145.86,144.21,145.66,142.81,2774800
29-09-2017,145.45,145.69,144.92,145.08,142.24,2654700
02-10-2017,145.35,146.87,145.21,146.66,143.79,2973200
03-10-2017,146.69,147.20,146.34,146.78,143.91,2302700
04-10-2017,147.00,147.02,146.11,146.48,143.62,2244400
05-10-2017,146.68,147.54,146.48,146.72,143.85,2686500
06-10-2017,146.64,146.85,146.32,146.48,143.62,2623200
09-10-2017,146.50,147.79,146.35,147.39,144.51,2682600
10-10-2017,147.71,148.95,147.65,148.50,145.60,4032600
11-10-2017,148.40,148.47,147.28,147.62,144.73,3702200
12-10-2017,147.56,147.89,146.77,147.03,144.16,3264300
13-10-2017,147.48,147.85,146.94,147.10,144.22,2506600
16-10-2017,147.22,147.67,146.51,146.83,143.96,3052100
17-10-2017,146.63,147.12,146.18,146.54,143.68,6372400
18-10-2017,157.12,161.23,156.95,159.53,156.41,30490200
19-10-2017,159.80,160.96,159.09,160.90,157.75,9914200
20-10-2017,161.07,162.48,159.77,162.07,158.90,7868800
23-10-2017,162.05,162.51,159.54,159.55,156.43,5779400
24-10-2017,159.65,159.70,155.17,155.88,152.83,8194700
25-10-2017,156.01,156.37,153.06,153.50,150.50,6921100
26-10-2017,154.31,155.12,153.54,153.60,150.60,4300500
