Date,Open,High,Low,Close,Adj Close,Volume
12-07-2017,82.83,83.10,81.91,82.24,80.32,1606000
13-07-2017,81.94,82.25,81.11,81.72,79.82,2318400
14-07-2017,81.86,82.35,81.65,82.20,80.29,1435800
17-07-2017,81.92,82.22,81.64,81.81,79.90,1843700
18-07-2017,82.09,82.13,81.51,81.96,80.05,1339100
19-07-2017,81.95,82.94,81.86,82.92,80.99,1666200
20-07-2017,82.97,83.12,81.99,82.36,80.44,1167700
21-07-2017,82.31,83.33,81.98,82.85,80.92,2190600
24-07-2017,82.69,83.02,82.52,82.65,80.73,1417900
25-07-2017,83.21,84.68,83.21,84.45,82.48,2335600
26-07-2017,84.69,84.72,83.62,83.70,81.75,1753700
27-07-2017,83.53,84.93,83.34,84.51,82.54,2188400
28-07-2017,84.24,84.65,83.49,83.65,81.70,2169400
31-07-2017,83.88,84.39,83.75,83.75,81.80,3641500
01-08-2017,84.04,85.81,84.00,85.63,83.64,2696700
02-08-2017,85.45,87.30,85.38,86.67,84.65,2952400
03-08-2017,86.77,87.12,85.59,85.65,83.66,2430100
04-08-2017,85.69,86.19,85.58,85.60,83.61,2087500
07-08-2017,85.53,85.59,84.88,85.07,83.09,2187200
08-08-2017,84.84,85.31,84.53,85.02,83.04,1848000
09-08-2017,85.00,85.56,84.32,84.49,82.52,2297100
10-08-2017,84.42,84.75,83.48,83.64,81.69,1850500
11-08-2017,83.09,83.80,82.96,83.44,81.50,1858200
14-08-2017,83.60,84.30,83.44,83.88,81.93,1758700
15-08-2017,83.75,84.08,83.24,83.68,81.73,1907600
16-08-2017,83.31,83.48,82.76,83.03,81.78,2138400
17-08-2017,82.67,83.01,80.89,80.89,79.67,2359100
18-08-2017,80.80,82.17,80.73,81.56,80.33,2288900
21-08-2017,81.41,82.04,81.14,81.90,80.67,1686900
22-08-2017,82.12,82.60,81.99,82.23,80.99,1709100
23-08-2017,81.97,82.65,81.88,82.36,81.12,1159800
24-08-2017,82.06,84.41,82.06,83.87,82.61,2463200
25-08-2017,84.30,84.84,83.37,83.42,82.16,1778600
28-08-2017,84.11,84.60,83.52,83.65,82.39,2285600
29-08-2017,83.50,83.99,83.25,83.50,82.24,1696800
30-08-2017,83.50,83.74,82.95,83.60,82.34,1853600
31-08-2017,83.97,83.98,83.12,83.81,82.55,2446000
01-09-2017,83.87,84.61,83.19,84.43,83.16,2048800
05-09-2017,84.32,84.40,82.66,83.24,81.99,2491400
06-09-2017,83.64,83.95,83.18,83.36,82.11,1885900
07-09-2017,83.48,84.20,83.11,84.04,82.78,1853200
08-09-2017,84.03,85.11,83.96,84.70,83.43,1936700
11-09-2017,84.90,85.42,84.43,85.19,83.91,1508900
12-09-2017,85.20,85.84,85.08,85.73,84.44,1567300
13-09-2017,85.89,86.46,85.52,86.35,85.05,1748100
14-09-2017,86.18,86.76,85.95,86.24,84.94,2002600
15-09-2017,86.30,87.82,86.29,87.67,86.35,4363600
18-09-2017,87.61,88.35,87.50,88.31,86.98,1815900
19-09-2017,88.37,89.31,88.02,89.09,87.75,1928600
20-09-2017,89.03,89.51,88.77,89.07,87.73,2279000
21-09-2017,88.90,89.71,88.80,89.14,87.80,2035700
22-09-2017,89.14,90.10,89.02,89.89,88.54,2036600
25-09-2017,89.97,91.50,89.85,91.01,89.64,2039700
26-09-2017,91.15,91.68,90.91,91.35,89.98,1986500
27-09-2017,91.39,92.08,90.58,91.80,90.42,2468200
28-09-2017,91.98,92.19,91.29,91.79,90.41,2197400
29-09-2017,91.66,92.08,91.35,91.61,90.23,1947300
02-10-2017,91.36,92.67,91.21,92.38,90.99,1929500
03-10-2017,93.80,94.69,93.25,93.63,92.22,2606100
04-10-2017,93.39,93.71,92.76,93.43,92.02,2214300
05-10-2017,93.53,94.12,93.10,93.33,91.93,2046000
06-10-2017,92.77,93.33,92.41,92.82,91.42,1769400
09-10-2017,93.45,93.76,93.04,93.32,91.92,1238700
10-10-2017,93.66,94.00,93.32,93.47,92.06,1109900
11-10-2017,93.47,93.95,92.92,93.68,92.27,1644300
12-10-2017,93.45,94.46,93.33,94.34,92.92,1692800
13-10-2017,94.69,95.00,94.22,94.43,93.01,1608600
16-10-2017,93.50,93.79,90.70,90.87,89.50,3563000
17-10-2017,90.69,91.10,90.40,90.63,89.27,2398400
18-10-2017,90.74,90.88,89.90,90.24,88.88,1942200
19-10-2017,89.71,90.58,89.26,90.39,89.03,1899800
20-10-2017,90.79,91.03,90.39,90.80,89.43,2109800
23-10-2017,90.89,91.76,90.70,91.24,89.87,2036000
24-10-2017,91.28,91.89,90.67,91.83,90.45,1425700
25-10-2017,91.82,92.35,91.23,91.71,90.33,2187400
26-10-2017,91.51,92.00,90.80,91.18,89.81,1683300
27-10-2017,91.05,92.08,90.20,91.99,90.61,2082900
30-10-2017,91.58,92.32,90.99,91.02,89.65,1922900
31-10-2017,90.94,91.44,90.29,91.08,89.71,1442200
01-11-2017,91.03,92.65,90.92,92.30,90.91,2152200
02-11-2017,92.21,93.60,91.91,93.46,92.05,1822800
03-11-2017,93.33,94.42,93.06,93.58,92.17,1868100
06-11-2017,93.59,94.95,93.29,94.43,93.01,1927100
07-11-2017,94.67,94.87,93.95,94.57,93.15,1370900
08-11-2017,94.52,94.67,94.02,94.55,93.13,2035400
09-11-2017,93.61,94.63,93.61,94.42,93.00,1532600
10-11-2017,94.31,94.51,93.32,93.66,92.25,1347800
13-11-2017,93.66,94.21,93.20,93.32,91.92,1264000
14-11-2017,92.59,93.39,92.39,92.83,91.43,1774800
15-11-2017,92.20,93.06,91.45,92.57,91.18,1766000
16-11-2017,92.00,92.74,91.54,92.46,91.76,2197900
17-11-2017,92.24,93.19,91.97,92.65,91.95,1340700
20-11-2017,92.49,92.98,92.15,92.62,91.92,919600
21-11-2017,92.93,94.04,92.86,93.62,92.91,1509100
22-11-2017,93.67,93.96,92.70,93.29,92.59,1414100
24-11-2017,93.33,93.86,93.29,93.64,92.93,605700
27-11-2017,93.54,93.64,92.55,92.81,92.11,2066200
28-11-2017,93.46,94.22,92.84,94.05,93.34,1584200
29-11-2017,94.05,95.04,94.05,94.91,94.19,2004100
30-11-2017,95.00,97.69,94.92,97.56,96.82,3332600
01-12-2017,97.98,98.16,95.35,97.57,96.83,2329600
04-12-2017,96.99,99.35,96.99,97.53,96.79,1953800
05-12-2017,97.75,99.35,97.54,98.27,97.53,1820200
06-12-2017,98.12,98.62,97.29,97.59,96.85,1612400
07-12-2017,97.50,98.29,97.32,97.86,97.12,1485700
08-12-2017,98.52,99.87,98.20,99.55,98.80,2360000
11-12-2017,99.37,100.25,99.37,99.72,98.97,1299500
12-12-2017,99.88,100.13,99.00,99.07,98.32,1670400
13-12-2017,99.33,100.39,98.99,99.99,99.24,1912700
14-12-2017,99.85,100.46,99.55,99.55,98.80,1455900
15-12-2017,100.00,100.41,99.58,99.92,99.17,2957300
18-12-2017,99.92,100.42,99.67,99.98,99.23,1833000
19-12-2017,100.04,100.14,99.07,99.14,98.39,1552300
20-12-2017,99.65,100.98,99.22,100.72,99.96,2223100
21-12-2017,100.67,100.84,99.91,100.08,99.32,2359900
22-12-2017,100.65,101.28,100.31,100.89,100.13,1092600
26-12-2017,101.14,101.81,100.86,101.64,100.87,900400
27-12-2017,101.81,102.43,101.27,102.06,101.29,1226000
28-12-2017,102.10,102.16,101.42,101.96,101.19,1258300
29-12-2017,102.25,102.29,101.15,101.15,100.39,1267600
02-01-2018,101.66,101.83,101.07,101.75,100.98,1222300
03-01-2018,101.45,102.80,101.41,102.43,101.66,1351700
04-01-2018,102.40,102.72,101.82,102.15,101.38,1110600
05-01-2018,102.20,102.35,101.64,102.16,101.39,1752500
08-01-2018,102.50,102.50,101.46,102.06,101.29,1236500
09-01-2018,101.90,102.25,101.37,101.72,100.95,1537000
10-01-2018,101.92,102.41,101.30,102.08,101.31,977500
11-01-2018,102.62,102.62,101.51,102.37,101.60,1358600
12-01-2018,102.54,105.09,102.50,104.97,104.18,1849300
16-01-2018,104.54,104.89,103.17,103.50,102.72,2601200
17-01-2018,103.95,106.91,103.83,106.16,105.36,2333400
18-01-2018,106.43,106.43,104.55,105.29,104.50,1514000
19-01-2018,105.53,105.65,104.82,105.63,104.83,1657500
22-01-2018,105.59,106.82,105.39,106.66,105.86,1348000
23-01-2018,106.90,107.34,106.56,106.90,106.09,1436500
24-01-2018,107.22,107.47,103.80,104.63,103.84,1945300
25-01-2018,105.01,105.33,103.97,104.17,103.38,1864000
26-01-2018,104.62,106.92,104.52,106.59,105.79,2645100
29-01-2018,106.12,106.44,103.95,104.25,103.46,2563500
30-01-2018,103.05,103.69,101.89,102.28,101.51,2049800
31-01-2018,102.60,102.95,101.64,102.40,101.63,3388700
01-02-2018,102.33,102.99,99.67,100.86,100.10,3243600
02-02-2018,101.10,101.10,96.08,97.01,96.28,4492300
05-02-2018,95.82,99.57,93.55,95.21,94.49,4252500
06-02-2018,92.88,97.00,92.70,96.88,96.15,2894200
07-02-2018,96.82,98.09,95.59,95.61,94.89,2199700
08-02-2018,95.49,95.52,92.41,92.44,91.74,2621100
09-02-2018,93.12,94.13,89.14,92.60,91.90,2679300
12-02-2018,93.46,94.77,92.61,93.59,92.88,1809000
13-02-2018,93.24,94.29,92.96,93.76,93.05,1441200
14-02-2018,93.39,93.81,91.32,93.33,92.63,4091300
15-02-2018,93.98,94.40,91.62,92.77,92.07,2639600
16-02-2018,91.78,92.92,90.95,91.99,91.99,2224800
20-02-2018,91.95,92.58,90.26,90.99,90.99,2957100
21-02-2018,91.06,91.53,89.56,89.58,89.58,2256700
22-02-2018,90.10,91.20,89.59,90.13,90.13,2905600
23-02-2018,90.59,91.86,90.11,91.83,91.83,2922000
26-02-2018,92.62,93.23,91.96,92.52,92.52,3391100
27-02-2018,92.77,93.75,92.10,92.12,92.12,3183100
28-02-2018,92.95,93.04,90.34,90.37,90.37,3233800
01-03-2018,90.54,91.92,89.50,90.87,90.87,3431900
02-03-2018,90.07,91.64,89.79,91.37,91.37,1903800
05-03-2018,91.02,93.22,90.67,93.06,93.06,2953300
06-03-2018,93.55,94.31,92.75,93.93,93.93,2056500
07-03-2018,93.03,95.04,93.02,94.22,94.22,1791400
08-03-2018,94.23,95.23,93.55,95.19,95.19,2101300
09-03-2018,96.00,96.29,95.43,95.91,95.91,1776400
12-03-2018,95.71,96.25,94.89,94.99,94.99,1310600
13-03-2018,95.11,96.12,94.11,94.55,94.55,1735500
14-03-2018,94.84,95.31,94.01,94.21,94.21,1607800
15-03-2018,94.64,95.18,93.25,94.46,94.46,2688200
16-03-2018,94.61,96.02,94.58,95.79,95.79,3193400
19-03-2018,95.14,95.45,93.89,94.40,94.40,1778400
20-03-2018,94.68,95.90,94.58,95.10,95.10,2011800
21-03-2018,95.34,96.98,95.20,96.15,96.15,1617400
22-03-2018,95.23,96.22,94.91,94.95,94.95,841364
